鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
文山區,房地(土地+建物)+車位,臺北市文山區羅斯福路五段218巷38弄1~30號,41.52,住,Missing,Missing,1090210,土地3建物1車位4,十五層，十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860815,250.86,2,2,2,有,有,25500000,101650,坡道平面,100.6,0,含增建或未登記建物。;,RPXOMLOKMHPFFAA48CA
萬華區,房地(土地+建物),臺北市萬華區長沙街二段61~90號,11.69,商,Missing,Missing,1090219,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950127,134.23,3,2,2,有,有,21680000,161514,Missing,0.0,0,含增建或未登記建物。;,RPRNMLOLLHPFFBA87CA
大同區,房地(土地+建物)+車位,臺北市大同區萬全街1~30號,14.09,商,Missing,Missing,1090204,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016,186.61,3,1,2,有,有,34329898,183966,坡道平面,46.87,0,向政府機關承購之案件。;,RPXOMLQLLHPFFBA78CA
萬華區,房地(土地+建物)+車位,臺北市萬華區艋舺大道275巷1~30號,17.98,其他,Missing,Missing,1090202,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080416,154.01,3,2,2,有,有,26500000,172067,坡道平面,34.74,0,Missing,RPVOMLLMLHPFFBA18CA
中正區,房地(土地+建物)+車位,臺北市中正區仁愛路二段8巷1~30號,41.0,商,Missing,Missing,1090108,土地2建物1車位6,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060411,559.5799999999999,0,0,0,無,有,126000000,295394,坡道平面,177.04,13000000,1.本案為毛胚屋。2.連件買賣案件。,RPVPMLRJMHPFFBA68CA
大同區,房地(土地+建物)+車位,臺北市大同區萬全街1~30號,14.0,商,Missing,Missing,1090204,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016,188.71,3,1,2,有,有,37567899,199077,坡道平面,46.87,0,向政府機關承購之案件。;,RPRNMLOKMHPFFBA87CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,5.12,商,Missing,Missing,1090225,土地1建物1車位0,七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,68.25,1,2,1,有,有,12500000,183150,Missing,0.0,0,Missing,RPXOMLLLMHPFFBA38CA
中山區,房地(土地+建物)+車位,臺北市中山區明水路397巷1~30號,70.85,住,Missing,Missing,1090223,土地1建物1車位3,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961204,406.73,3,2,2,有,有,126080000,386033,坡道平面,103.44,9000000,Missing,RPTPMLOLLHPFFCA38CA
中山區,房地(土地+建物)+車位,臺北市中山區五常街11巷1~30號,18.07,住,Missing,Missing,1090303,土地2建物1車位1,十五層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,152.12,3,2,2,有,有,35900000,283761,坡道平面,35.12,2700000,Missing,RPPNMLTJMHPFFCA18CA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段151~180號,16.97,其他,Missing,Missing,1090225,土地1建物1車位1,二十六層,二十九層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1070223,237.82999999999998,0,0,0,無,有,63600000,293920,坡道平面,29.1,2250000,1.毛胚屋,RPXPMLNKMHPFFCA68CA
內湖區,房地(土地+建物),臺北市內湖區民權東路六段180巷42弄1~30號,8.11,商,Missing,Missing,1090223,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,90.08,1,1,1,有,有,19000000,210924,Missing,0.0,0,Missing,RPSPMLOKMHPFFCA28CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,10.1,商,Missing,Missing,1090109,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,140.68,1,1,1,有,有,22800000,199217,坡道平面,41.04,2950000,Missing,RPPQMLOKMHPFFCA08CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,18.29,住,Missing,Missing,1090215,土地2建物1車位1,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,212.04,3,2,2,有,有,56000000,264101,坡道平面,38.1,0,Missing,RPVNMLQLLHPFFEA78CA
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,30.98,住,Missing,Missing,1050809,土地1建物1車位2,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,288.6,3,2,2,有,有,43270000,181711,坡道平面,76.34,4700000,Missing,RPVPMLQLLHPFFEA98CA
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,31.9,住,Missing,Missing,1041024,土地1建物1車位1,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,256.94,4,2,3,有,有,40000000,173927,坡道平面,38.17,1950000,Missing,RPWPMLQLLHPFFEA09CA
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,23.15,住,Missing,Missing,1080617,土地1建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,196.86,3,2,2,有,有,29070000,168379,坡道平面,38.17,2350000,Missing,RPTOMLRLLHPFFEA78CA
大安區,房地(土地+建物)+車位,臺北市大安區金山南路二段181~210號,20.16,住,Missing,Missing,1090205,土地4建物1車位1,十八層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080910,176.17,3,2,2,有,有,62500000,452772,坡道平面,45.42,3300000,土地及建物分次登記案件。前案土地登記收件字號：;,RPRNMLTLLHPFFFA78CA
北投區,房地(土地+建物)+車位,臺北市北投區溫泉路37巷1~30號,11.41,住,Missing,Missing,1090211,土地2建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941111,74.94999999999999,1,2,1,有,有,7500000,121619,坡道機械,19.86,800000,含增建或未登記建物。,RPURMLQLLHPFFEA56DA
中山區,房地(土地+建物),臺北市中山區民權東路三段31~60號,8.05,商,Missing,Missing,1090228,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0731109,71.7,2,2,1,有,有,16300000,227336,Missing,0.0,0,Missing,RPOOMLLJMHPFFCA47DA
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,21.9,住,Missing,Missing,1090109,土地1建物1車位1,十三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,188.35000000000002,3,2,2,有,有,29980000,184312,坡道平面,38.17,2300000,Missing,RPVOMLRLLHPFFEA98CA
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,21.9,住,Missing,Missing,1090103,土地1建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,188.35000000000002,3,2,2,有,有,29600000,181116,坡道平面,38.17,2400000,Missing,RPWOMLRLLHPFFEA09CA
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,30.51,住,Missing,Missing,1090127,土地1建物1車位1,十層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,247.38,4,2,2,有,有,44000000,198365,坡道平面,38.17,2500000,Missing,RPXOMLRLLHPFFEA56CA
南港區,房地(土地+建物)+車位,臺北市南港區經貿二路157巷36弄91~120號,57.11,住,Missing,Missing,1090224,土地1建物1車位2,三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030306,399.59000000000003,3,2,2,有,有,73500000,183939,坡道平面,90.34,0,Missing,RPSNMLPKMHPFFDA28CA
松山區,房地(土地+建物),臺北市松山區北寧路31~60號,9.04,住,Missing,Missing,1090312,土地3建物1車位0,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0770701,82.1,2,1,1,有,有,21000000,255786,Missing,0.0,0,Missing,RPPOMLPLLHPFFDA08CA
內湖區,房地(土地+建物),臺北市內湖區民權東路六段180巷42弄1~30號,6.65,商,Missing,Missing,1090225,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,77.62,1,1,41,有,有,15900000,204844,Missing,0.0,0,Missing,RPQQMLOKMHPFFCA18CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,10.1,商,Missing,Missing,1090228,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,140.3,1,1,1,有,有,23300000,207536,坡道平面,41.04,2700000,Missing,RPTQMLOKMHPFFCA48CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,8.95,商,Missing,Missing,1090304,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,131.12,1,1,1,有,有,21180000,208481,坡道平面,41.04,2400000,Missing,RPUPMLOKMHPFFCA48CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段103巷119弄31~60號,35.5,住,Missing,Missing,1090216,土地2建物1車位1,十三層，十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720331,221.6,3,3,3,有,有,26000000,117329,坡道平面,0.0,0,Missing,RPWOMLKMLHPFFCA28CA
內湖區,房地(土地+建物),臺北市內湖區星雲街150巷31~60號,12.89,住,Missing,Missing,1090219,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880121,55.150000000000006,3,2,2,有,有,14220000,257796,Missing,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUPMLRJMHPFFCA68CA
文山區,房地(土地+建物)+車位,臺北市文山區和平東路四段66巷1~30號,101.02,住,Missing,Missing,1090203,土地2建物2車位1,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860529,285.68,4,2,2,有,有,35000000,122515,坡道平面,46.64,0,親友、員工或其他特殊關係間之交易。;親友間之交易。,RPQOMLLJMHPFFAA37CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,18.29,住,Missing,Missing,1090215,土地2建物1車位1,十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,212.04,3,2,2,有,有,56000000,264101,坡道平面,0.0,0,Missing,RPOOMLQJMHPFFEA08CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路121~150號,13.65,住,Missing,Missing,1090303,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960426,124.05,2,2,1,有,有,8600000,69327,坡道平面,26.45,0,Missing,RPRRMLRKMHPFFCB78CA
豐原區,房地(土地+建物),臺中市豐原區三民路1~30號,9.71,商,Missing,Missing,1090301,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930311,92.37,2,2,1,有,有,5150000,55754,Missing,0.0,0,Missing,RPXNMLQLLHPFFDB98CA
豐原區,房地(土地+建物)+車位,臺中市豐原區安康路1~30號,11.59,住,Missing,Missing,1090223,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0901018,104.48,2,2,2,有,有,5280000,50536,坡道機械,9.33,0,Missing,RPSNMLQJMHPFFDB38CA
南屯區,房地(土地+建物)+車位,臺中市南屯區文山六街181~210號,50.08,住,Missing,Missing,1090204,土地1建物1車位2,十四層，十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021024,308.51,3,2,3,有,有,19300000,62321,坡道平面,46.96,3000000,含增建或未登記建物。新所有權人共2人。,RPWOMLTJMHPFFCB09CA
西屯區,房地(土地+建物)+車位,臺中市西屯區青海路二段301~330號,28.76,住,Missing,Missing,1090226,土地1建物1車位2,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990924,324.58000000000004,5,2,3,有,有,23300000,71785,坡道平面,22.5,0,Missing,RPVOMLNLLHPFFCB48CA
西屯區,房地(土地+建物),臺中市西屯區臺灣大道四段1141~1170號,7.84,住,Missing,Missing,1090227,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951113,63.5,1,1,1,有,有,5300000,83465,Missing,0.0,0,Missing,RPXPMLRLLHPFFCB56CA
南屯區,房地(土地+建物)+車位,臺中市南屯區豐偉路1~30號,20.46,住,Missing,Missing,1090208,土地1建物1車位2,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981111,251.9,4,2,2,有,有,18500000,73442,坡道機械,0.0,0,Missing,RPXOMLKMLHPFFCB48CA
北屯區,房地(土地+建物)+車位,臺中市北屯區青島路四段211~240號,27.83,住,Missing,Missing,1090205,土地1建物1車位1,二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820306,212.69,4,2,2,有,有,9200000,43255,坡道平面,0.0,1000000,Missing,RPXTMLQLLHPFFBB76CA
北屯區,房地(土地+建物)+車位,臺中市北屯區北屯路271~300號,7.78,住,Missing,Missing,1081219,土地1建物1車位1,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850524,90.39,1,2,1,有,有,5320000,58856,坡道平面,0.0,1000000,Missing,RPROMLOLLHPFFBB08CA
北區,房地(土地+建物)+車位,臺中市北區東光東街31~60號,12.03,住,Missing,Missing,1090226,土地1建物1車位1,十六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831214,136.55,5,5,5,有,有,6800000,49799,坡道機械,0.0,0,含增建或未登記建物。;,RPQPMLOLLHPFFBB08CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太原路三段601~630號,15.36,商,Missing,Missing,1090223,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980626,136.22,3,2,2,有,有,7760000,56967,坡道機械,14.15,0,Missing,RPXRMLOLLHPFFBB98CA
西區,房地(土地+建物)+車位,臺中市西區大忠街31~60號,33.59,住,Missing,Missing,1090227,土地1建物2車位1,十五層，十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830614,445.97,5,2,3,有,有,27000000,60542,坡道平面,0.0,0,Missing,RPPOMLQKMHPFFAB97CA
南區,房地(土地+建物)+車位,臺中市南區學府路135巷1~30號,10.84,住,Missing,Missing,1090212,土地2建物1車位1,五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851211,114.59,3,2,2,有,有,5500000,47997,坡道平面,0.0,1000000,含增建或未登記建物。,RPQNMLKMLHPFFAB47CA
西區,房地(土地+建物),臺中市西區民權路181~210號,5.94,住,Missing,Missing,1090224,土地3建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720819,77.62,3,1,1,有,有,3650000,47024,Missing,0.0,0,含增建或未登記建物。;,RPTNMLQLLHPFFAB28CA
西區,房地(土地+建物)+車位,臺中市西區三民路一段50巷1~30號,8.21,住,Missing,Missing,1090222,土地2建物2車位1,八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,102.66999999999999,3,2,2,有,有,4860000,47336,坡道機械,0.0,0,Missing,RPQOMLQLLHPFFAB08CA
南區,房地(土地+建物)+車位,臺中市南區復興北路567巷1~30號,20.04,住,Missing,Missing,1090221,土地5建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851004,110.33,3,2,2,有,有,5750000,52116,坡道機械,0.0,0,Missing,RPPNMLOKMHPFFAB67CA
東區,房地(土地+建物),臺中市東區十甲路391~420號,7.73,住,Missing,Missing,1090217,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830702,91.5,3,2,2,有,有,4000000,43716,Missing,0.0,0,Missing,RPQOMLNKMHPFFAB77CA
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段271~300號,9.74,住,Missing,Missing,1090224,土地1建物1車位1,十五層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,106.95,2,2,2,有,有,8480000,79289,坡道機械,13.62,0,Missing,RPWQNLPLLHPFFBB98CA
北屯區,房地(土地+建物)+車位,臺中市北屯區東山路一段361~390號,17.58,住,Missing,Missing,1090302,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840214,135.8,3,2,2,有,有,6700000,49337,坡道機械,0.0,0,含增建或未登記建物。;,RPPNMLQLLHPFFBB97CA
北區,房地(土地+建物)+車位,臺中市北區梅川西路四段211~240號,15.85,住,Missing,Missing,1090222,土地1建物1車位1,十一層，十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871106,188.76999999999998,4,2,3,有,有,10900000,57742,坡道平面,26.23,0,含增建或未登記建物。;,RPQNMLQLLHPFFBB08CA
北區,房地(土地+建物)+車位,臺中市北區興進路181~210號,13.78,住,Missing,Missing,1090223,土地1建物1車位1,二十層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831013,199.06,4,2,2,有,有,11500000,57772,坡道機械,0.0,0,Missing,RPOTMLRLLHPFFBB58CA
北屯區,房地(土地+建物),臺中市北屯區東光路852巷1~30號,11.25,住,Missing,Missing,1090218,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810918,131.99,3,2,2,有,有,5800000,43943,Missing,0.0,0,Missing,RPOOMLLJMHPFFBB37CA
北區,房地(土地+建物)+車位,臺中市北區太原路一段481~510號,12.94,住,Missing,Missing,1090226,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850918,141.45,4,2,2,有,有,7590000,53659,升降機械,0.0,0,Missing,RPQQMLRJMHPFFBB38CA
北屯區,房地(土地+建物)+車位,臺中市北屯區熱河路二段91~120號,14.02,商,Missing,Missing,1090220,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990629,153.85,3,2,2,有,有,11200000,72798,坡道平面,0.0,0,Missing,RPVNMLSJMHPFFBB68CA
南屯區,房地(土地+建物)+車位,臺中市南屯區向上路三段61~90號,8.91,其他,Missing,Missing,1090227,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840112,107.53,3,2,2,有,有,6350000,59053,坡道機械,0.0,0,Missing,RPPPMLLJMHPFFCB67CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路121~150號,6.56,住,Missing,Missing,1090302,土地1建物1車位1,十七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991119,78.72,2,2,1,有,有,6600000,83841,坡道機械,13.89,0,Missing,RPSNMLLMLHPFFCB97CA
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道四段1261~1290號,22.63,住,Missing,Missing,1090131,土地1建物1車位2,九層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020125,372.83,4,2,3,有,有,25500000,70493,坡道平面,45.14,2400000,Missing,RPTNMLSLLHPFFCB68CA
西屯區,房地(土地+建物),臺中市西屯區河南路二段421~450號,14.48,住,Missing,Missing,1090301,土地2建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840310,149.04,3,2,2,有,有,8380000,56227,Missing,0.0,0,Missing,RPRNMLSLLHPFFCB48CA
西屯區,房地(土地+建物),臺中市西屯區河南路二段271~300號,8.81,住,Missing,Missing,1090223,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920731,79.50999999999999,2,2,1,有,有,6300000,79235,Missing,0.0,0,Missing,RPRQMLQLLHPFFCB58CA
南屯區,房地(土地+建物)+車位,臺中市南屯區惠文路511~540號,27.79,商,Missing,Missing,1090121,土地1建物1車位2,十層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000510,375.01,3,2,4,有,有,37500000,99997,坡道平面,59.54,0,Missing,RPOPMLQLLHPFFCB18CA
北屯區,房地(土地+建物)+車位,臺中市北屯區熱河路三段181~210號,60.5,商,Missing,Missing,1090305,土地1建物2車位4,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020207,696.6800000000001,6,4,4,有,有,43000000,61721,坡道平面,117.53,0,Missing,RPSNMLMLMHPFFBB97CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路121~150號,7.65,住,Missing,Missing,1090301,土地1建物1車位1,四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991119,84.67,2,2,1,有,有,6800000,80312,坡道機械,13.89,0,Missing,RPXPMLPLLHPFFCB98CA
西屯區,房地(土地+建物),臺中市西屯區青海路二段151~180號,10.99,住,Missing,Missing,1090304,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871103,120.53,3,1,1,有,有,7600000,63055,Missing,0.0,0,Missing,RPPNMLKKMHPFFCB47CA
西屯區,房地(土地+建物),臺中市西屯區青海路二段481~510號,8.85,住,Missing,Missing,1090209,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880319,86.87,2,2,1,有,有,5820000,66997,Missing,0.0,0,含增建或未登記建物。;,RPWOMLKKMHPFFCB28CA
西屯區,房地(土地+建物)+車位,臺中市西屯區漢翔路331~360號,30.87,住,Missing,Missing,1090215,土地3建物1車位2,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020128,284.23,4,2,2,有,有,22500000,86809,坡道平面,59.6,3000000,Missing,RPQRMLSJMHPFFCB68CA
南屯區,房地(土地+建物)+車位,臺中市南屯區黎明路二段391~420號,15.16,住,Missing,Missing,1090208,土地1建物1車位1,十七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850612,130.22,3,2,2,有,有,8200000,62970,坡道機械,0.0,800000,含增建或未登記建物。,RPQQMLQJMHPFFCB38CA
西屯區,房地(土地+建物)+車位,臺中市西屯區青海路二段601~630號,37.94,住,Missing,Missing,1081029,土地1建物1車位3,二十二層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020808,346.14,4,2,3,有,有,31880000,92101,坡道平面,78.42,0,Missing,RPWNMLRJMHPFFCB78CA
南屯區,房地(土地+建物)+車位,臺中市南屯區大業路541~570號,16.55,住,Missing,Missing,1090204,土地1建物1車位1,十三層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871113,216.56,4,2,2,有,有,14630000,67556,坡道平面,23.14,0,Missing,RPWOMLLLMHPFFCB48CA
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段661~690號,33.88,商,Missing,Missing,1090221,土地1建物1車位2,六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031204,434.12,5,2,4,有,有,38360000,93421,坡道平面,59.9,3400000,Missing,RPPNMLLJNHPFFCB77EA
西屯區,房地(土地+建物)+車位,臺中市西屯區皇城街31~60號,28.9,住,Missing,Missing,1090301,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960625,180.51,3,2,2,有,有,8200000,45427,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVNMLKMLHPFFCB28DA
南屯區,房地(土地+建物)+車位,臺中市南屯區五權西路二段1~30號,17.46,住,Missing,Missing,1090315,土地1建物1車位2,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970409,190.17000000000002,3,2,2,有,有,14000000,73618,坡道平面,39.66,0,親友、員工或其他特殊關係間之交易。;,RPWOMLNKMHPFFCB58CA
北屯區,房地(土地+建物)+車位,臺中市北屯區柳陽西街61~90號,14.31,住,Missing,Missing,1090302,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010814,132.47,3,2,2,有,有,8400000,63411,坡道機械,12.01,0,Missing,RPWPMLKLMHPFFBB38CA
北屯區,房地(土地+建物),臺中市北屯區中清路二段451~480號,8.35,住,Missing,Missing,1090212,土地1建物1車位0,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811020,98.73,3,2,1,有,有,5350000,54188,Missing,0.0,0,含增建或未登記建物。所有權人共兩位,RPPQMLNKMHPFFBB97CA
西區,房地(土地+建物)+車位,臺中市西區公館路241~270號,18.53,住,Missing,Missing,1090213,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830317,173.64,4,2,2,有,有,8350000,48085,坡道機械,0.0,650000,含增建或未登記建物。,RPOOMLOLMHPFFAB77CA
南區,房地(土地+建物)+車位,臺中市南區五權南路451~480號,10.28,住,Missing,Missing,1080603,土地3建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860327,111.4,3,1,2,有,有,5080000,45601,坡道機械,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTOMLRLLHPFFAB48CA
西區,房地(土地+建物)+車位,臺中市西區公正路61~90號,19.72,住,Missing,Missing,1090310,土地1建物1車位1,三層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881208,273.71,3,2,3,有,有,28460000,103979,坡道平面,0.0,0,Missing,RPUOMLKMLHPFFAB97CA
南區,房地(土地+建物),臺中市南區復興北路567巷31~60號,20.7,住,Missing,Missing,1090224,土地5建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851004,101.32,3,2,2,有,有,4600000,45401,Missing,0.0,0,Missing,RPPPMLKMLHPFFAB57CA
西區,房地(土地+建物),臺中市西區三民路一段50巷1~30號,2.81,住,Missing,Missing,1090309,土地2建物1車位0,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,36.83,1,0,1,有,有,1650000,44800,Missing,0.0,0,Missing,RPSOMLSJMHPFFAB38CA
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德六路1~30號,20.9,住,Missing,Missing,1090214,土地2建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820831,125.59,3,2,2,有,有,4000000,31850,坡道機械,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLKMLHPFFBB87CA
北屯區,房地(土地+建物),臺中市北屯區中清路二段451~480號,7.99,住,Missing,Missing,1090225,土地1建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811020,89.09,2,2,2,有,有,4270000,47929,Missing,0.0,0,Missing,RPQOMLKMLHPFFBB67CA
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路二段301~330號,13.84,商,Missing,Missing,1090221,土地2建物1車位1,二十二層，二十三層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861001,196.52,4,3,2,有,有,10350000,52664,坡道機械,0.0,0,Missing,RPXPMLLJMHPFFBB38CA
