鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
樹林區,房地(土地+建物),新北市樹林區八德街241~270號,17.95,其他,Missing,Missing,1090223,土地1建物1車位0,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831104,100.52000000000001,3,2,2,有,有,7600000,75607,Missing,0.0,0,Missing,RPWNMLLJMHPFFIF56CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路一段555巷1~30號,15.08,住,Missing,Missing,1090301,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950314,129.51999999999998,3,2,1,有,有,8550000,70002,坡道平面,27.38,1400000,含增建或未登記建物。,RPRSMLRJMHPFFBF56DA
永和區,房地(土地+建物)+車位,新北市永和區中和路511~540號,6.7,商,Missing,Missing,1090301,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980119,104.74000000000001,2,2,1,有,有,16300000,193610,升降機械,30.88,2000000,含增建或未登記建物。,RPRTMLQJMHPFFHF17DA
林口區,房地(土地+建物)+車位,新北市林口區文化二路一段331~360號,27.37,住,Missing,Missing,1090306,土地1建物1車位2,五層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961210,319.35,4,2,2,有,有,22800000,71395,坡道平面,0.0,0,Missing,RPSSMLRLLHPFFBF86EA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路151~180號,15.61,住,Missing,Missing,1090217,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880516,128.66,4,2,2,有,有,6870000,49574,坡道機械,4.2,700000,含增建或未登記建物。,RPTPMLRLMHPFFEF07EA
淡水區,房地(土地+建物)+車位,新北市淡水區新市二路三段1~30號,21.2,住,Missing,Missing,1090210,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010607,175.15,3,2,2,有,有,10000000,57094,坡道平面,21.04,0,親友、員工或其他特殊關係間之交易。;親友間交易,RPSNMLLMLHPFFEF78EA
中和區,房地(土地+建物)+車位,新北市中和區成功路121~150號,6.02,住,Missing,Missing,1090229,土地1建物1車位1,十四層,三十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0860322,116.43,2,2,1,有,有,13000000,131418,坡道機械,26.64,1200000,含增建或未登記建物。,RPWNMLNJMHPFFHF76DA
中和區,房地(土地+建物)+車位,新北市中和區景平路391~420號,11.03,住,Missing,Missing,1090207,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960321,115.63,3,2,1,有,有,12580000,126898,坡道平面,30.68,1800000,含增建或未登記建物。,RPQNMLOJMHPFFHF88DA
中和區,房地(土地+建物)+車位,新北市中和區中興街211~240號,10.75,住,Missing,Missing,1090105,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971009,100.06,3,1,1,有,有,12500000,135559,坡道平面,20.39,1700000,含增建或未登記建物。,RPQPMLQJMHPFFHF66DA
三重區,房地(土地+建物),新北市三重區新北大道一段133巷1~30號,9.91,住,Missing,Missing,1090112,土地3建物1車位0,十一層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831221,113.45,3,2,2,有,有,14500000,127810,Missing,0.0,0,含增建或未登記建物。;,RPUQMLNKMHPFFGF86DA
中和區,房地(土地+建物)+車位,新北市中和區中興街211~240號,16.42,住,Missing,Missing,1090222,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971009,146.07,3,2,2,有,有,17000000,120146,坡道平面,20.39,1900000,"含增建或未登記建物,權利人共二人",RPPQMLKMLHPFFHF88DA
新莊區,房地(土地+建物)+車位,新北市新莊區中原路181~210號,13.52,住,Missing,Missing,1090218,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970527,147.33999999999997,3,2,2,有,有,15100000,102484,坡道平面,34.66,0,Missing,RPPNMLOKMHPFFBF28DA
新莊區,房地(土地+建物),新北市新莊區中和街155巷1~30號,12.92,住,Missing,Missing,1090228,土地1建物1車位0,十八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820528,96.76,2,2,1,有,有,8060000,83299,Missing,0.0,0,含增建或未登記建物。,RPPNMLNJMHPFFBF08DA
新莊區,房地(土地+建物),新北市新莊區新北大道七段391~420號,5.15,住,Missing,Missing,1090228,土地2建物1車位0,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880409,56.739999999999995,3,2,2,有,有,5400000,95171,Missing,0.0,0,含增建或未登記建物。,RPQNMLOJMHPFFBF28DA
樹林區,房地(土地+建物)+車位,新北市樹林區佳園路三段391~420號,18.21,住,Missing,Missing,1090312,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961121,140.82,2,1,2,有,有,9500000,67462,坡道平面,30.93,0,Missing,RPUOMLTJMHPFFIF27CA
三峽區,房地(土地+建物)+車位,新北市三峽區二鬮路136巷20弄61~90號,54.86,Missing,山坡地保育區,丙種建築用地,1090219,土地3建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830927,136.01,3,2,2,有,有,5000000,36762,坡道平面,0.0,0,Missing,RPSRMLLJMHPFFIF56CA
中和區,房地(土地+建物)+車位,新北市中和區中正路271~300號,6.22,住,Missing,Missing,1090226,土地2建物1車位1,四層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831115,95.50999999999999,2,2,1,有,有,8500000,88996,坡道機械,0.0,0,Missing,RPUPMLOKMHPFFHF86CA
中和區,房地(土地+建物),新北市中和區華新街143巷106弄1~30號,13.91,住,Missing,Missing,1090307,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850522,61.690000000000005,2,1,1,有,有,6300000,102124,Missing,0.0,0,Missing,RPUNMLQJMHPFFHF76CA
永和區,房地(土地+建物),新北市永和區成功路二段211~240號,3.89,住,Missing,Missing,1090118,土地1建物1車位0,十一層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950629,68.27,2,1,1,有,有,10730000,157170,Missing,0.0,0,Missing,RPUUMLQJMHPFFHF47CA
淡水區,房地(土地+建物),新北市淡水區新春街121~150號,13.29,住,Missing,Missing,1090229,土地2建物1車位0,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030423,79.44,2,1,1,有,無,6250000,78676,Missing,0.0,0,Missing,RPOQMLSLMHPFFEF56CA
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路一段306巷9弄31~60號,20.78,住,Missing,Missing,1090222,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020902,146.74,3,2,2,有,有,8500000,57926,坡道平面,25.69,0,Missing,RPQQMLNKMHPFFEF78CA
八里區,房地(土地+建物)+車位,新北市八里區龍米路二段200巷31~60號,16.24,住,Missing,Missing,1090227,土地1建物1車位1,一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830727,133.48,3,2,2,有,無,6450000,48322,坡道平面,0.0,0,Missing,RPPQMLRKMHPFFEF09CA
淡水區,房地(土地+建物)+車位,新北市淡水區八勢路1~30號,43.63,住,Missing,Missing,1081105,土地1建物1車位1,十七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070207,194.72,3,2,2,有,無,18650000,111089,坡道平面,43.04,1800000,Missing,RPXQMLLMLHPFFEF76CA
